Qty, PROD_ID, Names, Value, Package
5, CAP-08604, C1; C2; C3; C7; C9, 0.1uF, 0603
2, CAP-12547, C4; C5, 100uF, PANASONIC_D
1, CAP-11015, C6, 10uF, 0603
1, CAP-13930, C8, 1.0uF, 0603
1, CAP-00867, C10, 10nF, 0603
1, DIO-14084, D1, PRTR5V0U2F, SOT886
1, DIO-00821, D2, GREEN, LED-0603
1, DIO-09003, D3, Yellow, LED-0603
1, CONN-08289, E1, VHF, SMA-EDGE
1, CONN-08289, E2, GPS, SMA-EDGE
1, RES-14313, F1, 6V/2A, 1210
2, CONN-09193, GPS; VHF, U.FL, U.FL
2, HW-16629, H5; H6, STAND-OFF-REFLOW-M2.5_1.5MM_TALL, STAND-OFF-REFLOW-M2.5
1, CONN-14122, J1, , USB-C-16P-2LAYER-PADS
1, CONN-09696, J2, , 1X04_NO_SILK
2, TRANS-14386, Q1; Q3, , SOT363_PHILIPS
2, TRANS-14388, Q2; Q4, 20V/4.2A/52mÎ©/1.4W, SOT23-3
2, RES-12083, R1; R2, 5.1k, 0603
2, RES-07863, R3; R4, 100, 0603
4, RES-07828, R5; R6; R21; R23, 100k, 0603
2, RES-07868, R22; R24, 1M, 0603
1, IC-14135, U1, CH340E_MSOP10, MSOP10
1, CONN-16558, U2, SWARM_M138_TRANSCEIVER_MAIN, M.2-SWARM-M138-A
1, VREG-12457, U3, 3.3V, SOT23-5
